EmployeeID,Name,Department,Age,Salary,Experience,City,PerformanceScore
101,Sai,AI,24,65000,2,Hyderabad,8
102,Ravi,Data Science,26,75000,3,Bangalore,9
103,Priya,AI,25,70000,2,Chennai,8
104,Anjali,HR,30,50000,5,Hyderabad,7
105,Karthik,AI,,80000,4,Pune,9
106,Meena,Finance,28,55000,3,Chennai,6
107,Arjun,Data Science,24,72000,2,Bangalore,8
108,Sneha,HR,29,,4,Mumbai,7
109,Vikram,Finance,31,60000,6,Hyderabad,8
110,Rohan,AI,27,85000,5,Bangalore,10
111,Sai,AI,24,65000,2,Hyderabad,8
112,Nisha,Data Science,26,73000,3,,9
